Date,Trx Count
10/7/2021,60608
10/8/2021,65294
10/9/2021,57902
10/10/2021,59060
10/11/2021,54417
10/12/2021,52549
10/13/2021,58059
10/14/2021,56734
10/15/2021,52861
10/16/2021,51204
10/17/2021,53209
10/18/2021,56359
10/19/2021,54726
10/20/2021,47518
10/21/2021,46005
10/22/2021,42397
10/23/2021,44109
10/24/2021,51195
10/25/2021,60363
10/26/2021,56888
10/27/2021,86756
10/28/2021,75757
10/29/2021,57813
10/30/2021,53393
10/31/2021,58473
11/1/2021,61653
11/2/2021,56048
11/3/2021,60218
11/4/2021,63270
11/5/2021,53347
11/6/2021,52509
11/7/2021,58745
11/8/2021,54417
11/9/2021,51243
11/10/2021,55075
11/11/2021,54844
11/12/2021,47398
11/13/2021,44881
11/14/2021,46840
11/15/2021,46656
11/16/2021,48237
11/17/2021,48915
11/18/2021,48914
11/19/2021,44838
11/20/2021,42984
11/21/2021,44312
11/22/2021,46762
11/23/2021,49005
11/24/2021,62796
11/25/2021,66386
11/26/2021,56823
11/27/2021,59588
11/28/2021,94618
11/29/2021,71698
11/30/2021,70977
12/1/2021,69034
12/2/2021,70359
12/3/2021,58990
12/4/2021,56404
12/5/2021,65022
12/6/2021,57496
12/7/2021,61251
12/8/2021,55067
12/9/2021,63177
12/10/2021,54823
12/11/2021,52116
12/12/2021,56408
12/13/2021,54912
12/14/2021,58985
12/15/2021,59127
12/16/2021,59533
12/17/2021,61017
12/18/2021,54037
12/19/2021,54462
12/20/2021,55063
12/21/2021,53759
12/22/2021,56545
12/23/2021,62125
12/24/2021,51812
12/25/2021,56810
12/26/2021,100443
12/27/2021,125640
12/28/2021,90775
12/29/2021,85028
12/30/2021,83854
12/31/2021,68831
1/1/2022,73092
1/2/2022,74493
1/3/2022,74800
1/4/2022,76111
1/5/2022,72373
1/6/2022,72013
1/7/2022,57191
1/8/2022,62566
1/9/2022,68099
1/10/2022,73251
1/11/2022,66928
1/12/2022,66892
1/13/2022,67356
1/14/2022,59186
1/15/2022,60609
1/16/2022,63131
1/17/2022,56844
1/18/2022,58394
1/19/2022,59627
1/20/2022,60971
1/21/2022,53856
1/22/2022,53917
1/23/2022,57966
1/24/2022,66475
1/25/2022,76702
1/26/2022,81199
1/27/2022,134423
1/28/2022,84682
1/29/2022,76341
1/30/2022,78895
1/31/2022,80206
2/1/2022,87469
2/2/2022,85930
2/3/2022,78751
2/4/2022,67037
2/5/2022,63675
2/6/2022,69508
2/7/2022,70947
2/8/2022,66452
2/9/2022,67967
2/10/2022,76513
2/11/2022,62760
2/12/2022,60241
2/13/2022,67433
2/14/2022,70496
2/15/2022,68147
2/16/2022,66030
2/17/2022,68174
2/18/2022,58749
2/19/2022,59518
2/20/2022,65601
2/21/2022,73816
2/22/2022,66930
2/23/2022,79757
2/24/2022,96997
2/25/2022,76050
2/26/2022,84424
2/27/2022,157412
2/28/2022,129666
3/1/2022,111601
3/2/2022,100914
3/3/2022,98530
3/4/2022,76175
3/5/2022,73439
3/6/2022,78413
3/7/2022,78545
3/8/2022,77929
3/9/2022,85725
3/10/2022,96167
3/11/2022,70289
3/12/2022,70779
3/13/2022,70350
3/14/2022,73454
3/15/2022,69120
3/16/2022,67105
3/17/2022,68080
3/18/2022,58175
3/19/2022,55341
3/20/2022,63177
3/21/2022,65581
3/22/2022,60355
3/23/2022,62649
3/24/2022,76005
3/25/2022,60710
3/26/2022,63807
3/27/2022,94767
3/28/2022,83715
3/29/2022,78532
3/30/2022,81261
3/31/2022,91450
4/1/2022,83828
4/2/2022,62668
4/3/2022,70302
4/4/2022,65068
4/5/2022,66542
4/6/2022,69338
4/7/2022,67055
4/8/2022,65457
4/9/2022,58524
4/10/2022,63273
4/11/2022,64306
4/12/2022,70182
4/13/2022,65529
4/14/2022,65458
4/15/2022,65826
4/16/2022,61106
4/17/2022,63216
4/18/2022,64726
4/19/2022,66824
4/20/2022,63554
4/21/2022,83501
4/22/2022,72704
4/23/2022,72175
4/24/2022,78282
4/25/2022,90966
4/26/2022,87700
4/27/2022,132452
4/28/2022,108634
4/29/2022,91017
4/30/2022,97129
5/1/2022,87971
5/2/2022,47404
5/3/2022,54252
5/4/2022,59564
5/5/2022,61335
5/6/2022,60035
5/7/2022,62566
5/8/2022,68309
5/9/2022,67947
5/10/2022,69208
5/11/2022,65951
5/12/2022,67180
5/13/2022,57255
5/14/2022,57041
